timestamp,packet_count
1615809611,20929
1615809612,20644
1615809613,20943
1615809614,21050
1615809615,21108
1615809616,21187
1615809617,21280
1615809618,20986
1615809619,21220
1615809620,22276
1615809621,21783
1615809622,21687
1615809623,21791
1615809624,21785
1615809625,21593
1615809626,21621
1615809627,21715
1615809628,21037
1615809629,21667
1615809630,21228
1615809631,21707
1615809632,21473
1615809633,21134
1615809634,21195
1615809635,21475
1615809636,21371
1615809637,21956
1615809638,22313
1615809639,22045
1615809640,22083
1615809641,22256
1615809642,22357
1615809643,22181
1615809644,22253
1615809645,23317
1615809646,25955
1615809647,26355
1615809648,26040
1615809649,25355
1615809650,26127
1615809651,34669
1615809652,26011
1615809653,26475
1615809654,25031
1615809655,25386
1615809656,25315
1615809657,24149
1615809658,24266
1615809659,24237
1615809660,24133
1615809661,25642
1615809662,23178
1615809663,22183
1615809664,21894
1615809665,22326
1615809666,21870
1615809667,22498
1615809668,22668
1615809669,22650
1615809670,22928
1615809671,23816
1615809672,22819
1615809673,23324
1615809674,23402
1615809675,23128
1615809676,22953
1615809677,23337
1615809678,22752
1615809679,23236
1615809680,23243
1615809681,23026
1615809682,23225
1615809683,23315
1615809684,22811
1615809685,23406
1615809686,23548
1615809687,22894
1615809688,828
1615831200,42101
1615831201,42175
1615831202,42019
1615831203,41870
1615831204,42102
1615831205,41144
1615831206,40063
1615831207,42075
1615831208,42055
1615831209,42168
1615831210,41768
1615831211,41910
1615831212,42198
1615831213,41793
1615831214,42087
1615831215,41821
1615831216,42007
1615831217,42141
1615831218,41758
1615831219,41920
1615831220,42284
1615831221,42149
1615831222,41945
1615831223,42025
1615831224,42284
1615831225,41885
1615831226,41871
1615831227,42364
1615831228,42264
1615831229,41972
1615831230,42084
1615831231,41985
1615831232,41883
1615831233,41796
1615831234,42015
1615831235,41766
1615831236,42023
1615831237,40978
1615831238,42049
1615831239,41852
1615831240,41999
1615831241,41939
1615831242,41972
1615831243,41998
1615831244,41772
1615831245,41701
1615831246,41749
1615831247,30221
1618444800,28767
1618444801,29677
1618444802,29948
1618444803,30527
1618444804,31440
1618444805,30301
1618444806,30532
1618444807,30129
1618444808,30396
1618444809,30945
1618444810,30152
1618444811,33167
1618444812,32279
1618444813,33649
1618444814,33630
1618444815,33087
1618444816,32523
1618444817,34676
1618444818,37288
1618444819,36481
1618444820,38874
1618444821,39862
1618444822,38951
1618444823,39837
1618444824,38027
1618444825,37243
1618444826,30263
1618444827,29421
1618444828,29977
1618444829,30130
1618444830,30482
1618444831,32553
1618444832,32282
1618444833,33561
1618444834,34930
1618444835,33437
1618444836,33440
1618444837,32736
1618444838,33970
1618444839,33423
1618444840,33447
1618444841,33797
1618444842,35880
1618444843,36799
1618444844,35867
1618444845,34608
1618444846,37982
1618444847,38253
1618444848,38621
1618444849,37411
1618444850,29738
1618444851,28709
1618444852,29197
1618444853,30386
1618444854,31632
1618444855,31927
1618444856,31928
1618444857,32804
1618444858,33278
1618444859,33128
1618444860,1615
1618466400,24652
1618466401,25644
1618466402,25468
1618466403,25263
1618466404,25829
1618466405,25058
1618466406,24772
1618466407,24972
1618466408,25254
1618466409,25294
1618466410,24767
1618466411,24910
1618466412,25184
1618466413,25350
1618466414,25343
1618466415,25067
1618466416,25031
1618466417,24836
1618466418,25875
1618466419,25138
1618466420,25012
1618466421,25598
1618466422,25528
1618466423,25750
1618466424,25490
1618466425,25391
1618466426,25235
1618466427,25571
1618466428,25619
1618466429,25521
1618466430,25751
1618466431,25495
1618466432,25091
1618466433,25843
1618466434,25710
1618466435,26283
1618466436,26486
1618466437,26183
1618466438,25651
1618466439,26904
1618466440,26320
1618466441,26433
1618466442,26181
1618466443,26585
1618466444,26454
1618466445,26937
1618466446,26145
1618466447,25439
1618466448,27041
1618466449,25742
1618466450,25935
1618466451,25872
1618466452,25147
1618466453,25529
1618466454,25937
1618466455,24866
1618466456,25590
1618466457,26385
1618466458,26207
1618466459,25868
1618466460,26560
1618466461,25846
1618466462,26355
1618466463,27393
1618466464,26552
1618466465,27062
1618466466,28777
1618466467,27209
1618466468,27256
1618466469,26760
1618466470,26077
1618466471,25418
1618466472,25828
1618466473,24834
1618466474,24834
1618466475,25366
1618466476,24553
1618466477,14888
1618488000,32253
1618488001,27675
1618488002,27648
1618488003,27434
1618488004,28036
1618488005,28423
1618488006,28076
1618488007,27877
1618488008,27953
1618488009,28271
1618488010,28204
1618488011,28063
1618488012,28032
1618488013,28006
1618488014,28622
1618488015,28602
1618488016,28093
1618488017,27989
1618488018,28118
1618488019,28521
1618488020,28168
1618488021,28097
1618488022,28180
1618488023,28186
1618488024,28132
1618488025,28314
1618488026,28342
1618488027,27841
1618488028,27968
1618488029,27980
1618488030,27557
1618488031,28008
1618488032,27800
1618488033,27847
1618488034,27599
1618488035,28065
1618488036,28327
