timestamp,packet_count
1741996812,56193
1741996813,52467
1741996814,55160
1741996815,54935
1741996816,56070
1741996817,55740
1741996818,56277
1741996819,52829
1741996820,56242
1741996821,58599
1741996822,53469
1741996823,55836
1741996824,55074
1741996825,54525
1741996826,56589
1741996827,53099
1741996828,55745
1741996829,56939
1741996830,54915
1741996831,54971
1741996832,56773
1741996833,55334
1741996834,54653
1741996835,56034
1741996836,16496
1742018400,57907
1742018401,58247
1742018402,55917
1742018403,56070
1742018404,56368
1742018405,55969
1742018406,57128
1742018407,57119
1742018408,55636
1742018409,57684
1742018410,57899
1742018411,56828
1742018412,56865
1742018413,55192
1742018414,56370
1742018415,58197
1742018416,57171
1742018417,57948
1742018418,56257
1742018419,56847
1742018420,56607
1742018421,57197
1742018422,56280
1742018423,57160
1742018424,55942
1742018425,57338
1742018426,58215
1742018427,55289
1742018428,54740
1742018429,57386
1742018430,55706
1742018431,58641
1742018432,57961
1742018433,55445
1742018434,57203
1742018435,11271
1742040000,49912
1742040001,47471
1742040002,49538
1742040003,47812
1742040004,48820
1742040005,49280
1742040006,47635
1742040007,50228
1742040008,49067
1742040009,48881
1742040010,51508
1742040011,47837
1742040012,50868
1742040013,51043
1742040014,50829
1742040015,51218
1742040016,49068
1742040017,51701
1742040018,52602
1742040019,50919
1742040020,53509
1742040021,52899
1742040022,51490
1742040023,54097
1742040024,52098
1742040025,53278
1742040026,53251
1742040027,53404
1742040028,54215
1742040029,54363
1742040030,54436
1742040031,54459
1742040032,55167
1742040033,53877
1742040034,55201
1742040035,55180
1742040036,55340
1742040037,54785
1742040038,32714
1742061600,54761
1742061601,54291
1742061602,55240
1742061603,54488
1742061604,53607
1742061605,54521
1742061606,54936
1742061607,54268
1742061608,55983
1742061609,54819
1742061610,52839
1742061611,55334
1742061612,55626
1742061613,53545
1742061614,51248
1742061615,55011
1742061616,53659
1742061617,56023
1742061618,53191
1742061619,54628
1742061620,54190
1742061621,52687
1742061622,55048
1742061623,55879
1742061624,53112
1742061625,55506
1742061626,54672
1742061627,52474
1742061628,54783
1742061629,54971
1742061630,55303
1742061631,55689
1742061632,53153
1742061633,55258
1742061634,54228
1742061635,51775
1742061636,43254
1744675200,53982
1744675201,54793
1744675202,54606
1744675203,56194
1744675204,54771
1744675205,55376
1744675206,55795
1744675207,51003
1744675208,51501
1744675209,50930
1744675210,51252
1744675211,50476
1744675212,50655
1744675213,52200
1744675214,50226
1744675215,51649
1744675216,50458
1744675217,49884
1744675218,50176
1744675219,50785
1744675220,50709
1744675221,50798
1744675222,50900
1744675223,51131
1744675224,51836
1744675225,50764
1744675226,51876
1744675227,50502
1744675228,50033
1744675229,49846
1744675230,50157
1744675231,50048
